,L,R,F,M,C
0,90.2,0.03333333333333333,210,580717,0.9616390429999999
1,86.56666666666666,0.23333333333333334,140,293678,1.25231444
2,87.16666666666667,0.36666666666666664,135,283712,1.254675516
3,68.23333333333333,3.2333333333333334,23,281336,1.090869565
4,60.53333333333333,0.16666666666666666,152,309928,0.970657895
5,74.7,2.6333333333333333,92,294585,0.967692483
6,97.7,0.03333333333333333,101,287042,0.965346535
7,48.4,0.1,73,287230,0.962070222
8,34.266666666666666,0.2,56,321489,0.828478237
9,45.5,0.5,64,375074,0.7080101529999999
10,40.96666666666667,0.7333333333333333,43,262013,0.988658044
11,114.16666666666667,0.2,145,271438,0.95253487
12,89.5,2.2333333333333334,29,321529,0.799126984
13,90.46666666666667,0.1,118,179514,1.398381742
14,50.63333333333333,0.06666666666666667,50,270067,0.9219848409999999
15,73.13333333333334,2.1666666666666665,22,234721,1.0260845859999999
16,45.166666666666664,0.23333333333333334,101,172231,1.3865249
17,41.233333333333334,1.5,40,284160,0.8378442429999999
18,97.2,0.06666666666666667,64,169358,1.4015962640000001
19,31.5,0.8,38,332896,0.70828541
20,69.0,0.13333333333333333,106,167113,1.369404116
21,34.266666666666666,0.2,23,214590,1.0616309240000001
22,109.23333333333333,0.7666666666666667,94,305250,0.741803833
23,48.266666666666666,2.466666666666667,20,222380,1.004904443
24,50.2,0.5666666666666667,44,281837,0.7873084440000001
25,42.13333333333333,0.5666666666666667,62,243674,0.9029900190000001
26,87.16666666666667,0.1,213,187917,1.146354614
27,112.06666666666666,0.36666666666666664,74,148685,1.4333644280000002
28,100.16666666666667,0.6,101,159129,1.33816985
29,70.46666666666667,0.36666666666666664,87,149254,1.424714581
30,97.03333333333333,0.06666666666666667,53,144076,1.469224298
31,113.76666666666667,0.26666666666666666,95,149053,1.414895104
32,109.2,0.5333333333333333,131,220948,0.9448842709999999
33,97.76666666666667,0.1,95,148227,1.3986401940000002
34,89.23333333333333,0.1,47,285144,0.725685618
35,54.333333333333336,3.6,25,220389,0.937899941
36,111.1,1.1333333333333333,24,189813,1.087220053
37,97.43333333333334,4.166666666666667,54,141012,1.462104927
38,83.96666666666667,0.03333333333333333,166,229303,0.890172305
39,61.93333333333333,1.1333333333333333,81,140819,1.4291794430000002
40,96.56666666666666,0.06666666666666667,98,137876,1.458541443
41,38.93333333333333,0.1,35,201141,0.9985545459999999
42,88.1,0.1,95,140803,1.3969850069999998
43,47.56666666666667,0.43333333333333335,46,256766,0.764737193
44,113.46666666666667,1.2666666666666666,54,160825,1.20853437
45,40.2,0.7333333333333333,21,185493,1.029507529
46,20.866666666666667,0.03333333333333333,110,187588,1.015978367
47,93.83333333333333,0.23333333333333334,134,140356,1.356053179
48,111.7,0.06666666666666667,107,135811,1.3989924230000002
49,45.166666666666664,10.133333333333333,70,219282,0.863479447
50,71.33333333333333,0.03333333333333333,189,235687,0.802633323
51,27.1,0.13333333333333333,87,132283,1.4251770069999998
52,89.66666666666667,0.36666666666666664,29,211369,0.8888699859999999
53,76.76666666666667,0.03333333333333333,48,130135,1.408197795
54,82.0,0.03333333333333333,68,135374,1.349375212
55,113.5,0.13333333333333333,111,216560,0.828452854
56,77.23333333333333,0.7333333333333333,69,131660,1.3549435669999998
57,74.96666666666667,0.13333333333333333,126,204371,0.867522349
58,112.66666666666667,0.5,55,153868,1.1460005979999999
59,111.7,0.7,76,214921,0.819187329
60,110.96666666666667,0.5,68,127335,1.380410335
61,113.96666666666667,0.03333333333333333,77,136121,1.2880183809999999
62,46.36666666666667,0.2,84,186821,0.9380310559999999
63,35.06666666666667,0.4666666666666667,96,204612,0.848239546
64,46.766666666666666,0.26666666666666666,30,164001,1.0572572120000001
65,105.06666666666666,0.6333333333333333,85,121097,1.4261062619999998
66,77.6,2.933333333333333,32,182563,0.9446501209999999
67,45.333333333333336,0.6333333333333333,34,170121,1.0136699759999999
68,41.6,0.03333333333333333,197,275800,0.620507614
69,64.43333333333334,0.23333333333333334,30,184194,0.928504294
70,19.766666666666666,2.066666666666667,18,209911,0.8118710790000001
71,54.13333333333333,0.6333333333333333,64,137636,1.236256939
72,27.7,0.13333333333333333,149,219108,0.774487057
73,77.5,0.43333333333333335,61,143186,1.183962818
74,42.166666666666664,1.2,36,209839,0.8061770690000001
75,44.166666666666664,0.7333333333333333,22,170406,0.992454374
76,12.7,0.9666666666666667,23,169224,0.995539285
77,34.2,0.6,16,163191,1.019520072
78,41.733333333333334,0.26666666666666666,102,140220,1.1793689920000001
79,102.76666666666667,0.2,81,159255,1.034587737
80,21.333333333333332,0.2,30,208687,0.782406571
81,93.93333333333334,0.4,127,170611,0.956332827
82,67.3,0.06666666666666667,56,116728,1.394863786
83,23.5,0.03333333333333333,79,208797,0.777341772
84,110.96666666666667,0.3,97,155881,1.036667137
85,114.0,0.06666666666666667,158,205159,0.784701427
86,96.13333333333334,0.23333333333333334,64,115300,1.3912993059999998
87,45.56666666666667,0.43333333333333335,51,137500,1.165835855
88,82.26666666666667,4.8,29,157056,1.0178590440000002
89,78.96666666666667,0.03333333333333333,69,114077,1.3874902919999998
90,70.56666666666666,0.5,88,122619,1.281481989
91,38.5,0.5,42,162453,0.9660694479999999
92,87.36666666666666,0.3333333333333333,129,109813,1.429138536
93,89.33333333333333,0.4666666666666667,67,123464,1.265322199
94,48.266666666666666,1.7666666666666666,12,146784,1.059166667
95,113.73333333333333,0.13333333333333333,100,162250,0.952273652
96,103.7,0.36666666666666664,69,118726,1.297050351
97,36.06666666666667,1.1333333333333333,17,125349,1.226505277
98,114.23333333333333,0.3,12,146784,1.046666667
99,23.433333333333334,0.13333333333333333,54,144562,1.053910364
100,69.06666666666666,0.7,79,123985,1.228445376
101,67.66666666666667,0.16666666666666666,87,105119,1.4454897780000002
102,23.4,0.5666666666666667,53,144682,1.046215562
103,88.13333333333334,0.5666666666666667,92,134823,1.1183160890000001
104,46.833333333333336,0.36666666666666664,48,150537,1.001144569
105,102.73333333333333,0.1,90,108184,1.390945611
106,63.266666666666666,0.3,56,104663,1.435274261
107,109.4,0.13333333333333333,146,191328,0.7832398290000001
108,30.966666666666665,0.5,35,167150,0.894261083
109,30.133333333333333,2.1,33,174046,0.85318887
110,104.63333333333334,0.23333333333333334,142,177357,0.835532119
111,41.0,1.4666666666666666,31,204438,0.723434195
112,89.33333333333333,0.9666666666666667,53,102999,1.434114409
113,83.2,0.4666666666666667,21,159605,0.9251142509999999
114,22.066666666666666,0.9,16,195712,0.75375
115,113.76666666666667,0.1,85,155704,0.9461749220000001
116,113.8,0.7333333333333333,71,119961,1.225504039
117,68.2,0.06666666666666667,130,167593,0.873661907
118,47.46666666666667,0.13333333333333333,89,149557,0.9780682279999999
119,105.56666666666666,0.36666666666666664,83,103087,1.411593411
120,113.53333333333333,0.06666666666666667,99,162215,0.8969661870000001
121,110.06666666666666,0.9,40,198627,0.731685018
122,71.03333333333333,0.36666666666666664,52,99524,1.458000784
123,100.46666666666667,0.3333333333333333,65,119794,1.210876087
124,108.8,0.1,34,151642,0.951756044
125,92.86666666666666,0.2,83,149993,0.9607655690000001
126,28.933333333333334,0.8,65,109089,1.318943707
127,15.533333333333333,0.7666666666666667,18,146238,0.982511386
