a	indef art one
ailment	n. illness, esp a slight one
aim	~ (sth) (at sth/sb) point or direct (a weapon, blow, missile, etc) towards an object
aimless	adj. having no purpose
air	mixture of gases surrounding the earth and breathed by all land animals and plants
air hostess	stewardess in a passenger aircraft
airborne	 adj. transported by the air
aircraft	 n. any machine or structure that can fly in the air and is regarded as a vehicle or carrier
airfield	 n. area of open level ground equipped with hangars and runways for aircraft
airily	 adv. in a carefree light-hearted manner
airless	not having enough fresh air; stuffy
airline	n. company or service providing regular flights for public use
airmail	n. mail carried by air
airplane	 n. = aeroplane
airport	n. large area where civil aircraft land and take off, usu with facilities for passengers and goods, and customs
airtight	 adj. not allowing air to enter or escape
airy	having plenty of fresh air moving about; well-ventilated
aisle	side passage in a church that is divided by a row of pillars from the nave
ajar	 adj. slightly open
akin	 adj. ~ similar; related
alabaster	n. soft stone, like marble in appearance, often carved to make ornaments ,
alacrity	 n. prompt and eager readiness
alarm	warning sound or signal
alarmed	[ alarm: ] to fill with apprehension, anxiety, or fear
alarmingly	 [ alarm: ] to fill with apprehension, anxiety, or fear
alas	 interj (expressing sorrow or regret )
albatross	n. large white sea-bird with long wings, common in the Pacific and Southern Oceans ,
albeit	 conj although
albino	 n. person or animal born with no colouring pigment in the skin and hair (which are white) and the eyes (which are pink)
album	book in which a collection of photographs, autographs, postage stamps, etc can be kept ,
alchemist	n. person who studied or practised alchemy
alchemy	n. medieval form of chemistry, the chief aim of which was to discover how to turn ordinary metals into gold ,
alcohol	colourless liquid that can cause drunkenness, contained in drinks such as beer, wine, brandy and whisky
alcoholism	 n. continual heavy drinking of alcohol
alcove	 n. small space in a room, etc formed by part of the wall being set back; recess
alder	n. tree of the birch family, usu growing in marshy places ,
alderman	(Brit) (esp formerly) member of a county or borough council, next in rank below the mayor
alert	adj. ~ attentive and quick to think or act
alertness	n. xxxxx
alfresco	 adj. adv in the open air
algae	n. very simple plants with no true stems or leaves, found chiefly in water
algebra	n. branch of mathematics in which letters and symbols are used to represent quantities
alias	n. name by which a person is called at other times or in other places; false name
alibi	formal statement or evidence that a person was in another place at the time of a crime
alien	person who is not a naturalized citizen of the country in which he is living
alienable	Capable of being aliened or alienated, as lands.
alienate	~ sb cause sb to become unfriendly or indifferent; estrange sb
alienated	[ alienate: ] to cause (a friend, sympathizer, etc.) to become indifferent, unfriendly, or hostile; estrange
alienation	 n. ~ alienating or being alienated; estrangement
alight	 adj. on fire; lit
align	~ sth (with sth) place or arrange (a thing or things) in a straight line
alignment	arrangement in a straight line
alike	adj. like one another; similar
aliment	That which nourishes.
alimentary	 adj. of food and digestion
alimony	n. allowance that a court may order a man to pay to his wife or former wife before or after a legal separation or divorce
alive	living; not dead
alkali	 n. any of a class of substances (eg caustic soda and ammonia) that neutralize acids and form caustic or corrosive solutions in water
alkaline	 adj. alkaline soil
all	the whole number of
all but	almost
allay	v. make (sth) less; relieve
allegation	act of alleging
allege	 v. state (sth) as a fact but without proof; give as an argument or excuse
alleged	adj. stated without being proved
allegiance	 n. ~ (to sb/sth) support of or loyalty to a government, ruler, cause, etc
allegory	 n. story, painting or description in which the characters and events are meant as symbols of purity, truth, patience, etc ,
allegro	adj. adv in quick time; fast and lively ;
allergic	~ having an allergy
allergy	n. ~ medical condition that produces an unfavourable reaction to certain foods, pollens, insect bites, etc
alleviate	v. make less severe; ease
alley	narrow passage, esp between or behind houses or other buildings, usu for pedestrians only
alliance	action or state of being joined or associated
allied	 => ally
alligator	reptile of the crocodile family found esp in the rivers and lakes of tropical America and China
alliterate	 the repetition of usually initial consonant sounds in two or more neighboring words or syllables
alliteration	as thick as thieves
allocate	 v. ~ sth allot or assign sth (to sb/sth) for a special purpose
allocation	action of allocating
allopathy	adj. "allo'pathically adve
allot	v. ~ sth (to sb/sth) give (time, money, duties, etc) as a share of what is available; apportion sth
allotment	action of allotting
allow	permit (sb/sth) to do sth
allowance	amount of sth, esp money, allowed or given regularly
alloy	metal formed of a mixture of metals or of metal and another substance
all-star	 adj. including many famous actors
allude	~ to sb/sth (fml ) mention sb/sth briefly or indirectly
allure	 v. tempt or attract (sb) by the expectation of gaining sth
allurement	 n.
alluring	 adj. attractive; charming
allusion	 n. ~ indirect reference
allusive	containing allusions
allusiveness	 [ allusive: ] adj. containing or full of allusions
alluvial	 adj. made of sand, earth, etc left by rivers or floods, esp in a delta
alluvion	 Flood.
ally	 v. ~ (sb/oneself) with/to sb/sth join or become joined with sb/sth by treaty, marriage, etc
almanac	annual book or calendar of months and days, giving information about the sun, moon, tides, anniversaries, etc ,
almond	type of tree related to the plum and peach
almost	nearly; not quite
alms	 n. money, clothes, food, etc given to poor people
aloft	up in the air; overhead
alone	without any companions
along	from one end to or towards the other end of
alongside	adv. close to the side of a ship, pier, etc
aloof	adj. ~ cool and remote in character; unconcerned
aloofness	n.
aloud	in a voice loud enough to be heard, not silently or in a whisper
alphabet	 n. set of letters or symbols in a fixed order, used when writing a language
alphabetical	 adj. in the order of the alphabet
alphabetically	 adv: books arranged alphabetically by author
Alpine	 adj. of or found in high mountains, esp the Alps
already	before now or before a stated or suggested time in the past
also	 adv. in addition; besides; too
altar	table on which bread and wine are consecrated in the Communion service .
alter	become different; change in character, position, size, shape, etc
alterable	adj. that can be altered
alteration	changing; making a change
altercate	To contend angrily or zealously in words.
altercation	n. (act of) quarrelling or arguing noisily
altered	[ alter: ] to make or become different in some respect; change
alternate	happening or following one after the other
alternative	available in place of sth else; other
although	in spite of the fact that; even if
altimeter	n. instrument used esp in aircraft for showing the height above sea-level
altitude	height above sea-level
alto	(singer with a) voice of the highest adult male pitch
altogether	entirely, completely
altruism	 n. principle of considering the welfare and happiness of others before one's own; unselfishness ;
altruist	 n. unselfish person
altruistic	 (adj.) unselfish
aluminium	n. chemical element, a light silvery metal, not tarnished by air, used either pure or as an alloy for making cooking utensils, electrical apparatus, etc
aluminum	etc. Symbol: Al; atomic no.: 13
alumnus	n. (US) male former student of a school, college or university
always	at all times; without exception
amalgam	alloy of mercury with another metal
amalgamate	 v. ~ (with sb/sth) (cause people or things to) combine or unite
amalgamated	[ amalgamate: ] to combine or cause to combine; unite
amass	v. gather together or collect (sth), esp in large quantities
amateur	person who practises a sport or artistic skill without receiving money for it
amateurish	 adj. inexpert; unskilled ;
amatory	adj. relating to or inspired by sexual love
amaze	v. fill with great surprise or wonder
amazon	tall strong athletic woman
ambassador	diplomat sent from one country to another either as a permanent representative or on a special mission
ambidextrous	 adj. able to use the left hand or the right hand equally well
ambience	 n. environment; atmosphere of a place
ambient	adj. (of air, etc) on all sides; surrounding ,
ambiguity	n. presence of more than one meaning
ambiguous	having more than one possible meaning
ambit	n. bounds, scope or extent ,
ambition	strong desire to achieve sth
ambitious	~ ~ (for sth) full of ambition, esp for success or money
ambivalence	the state of having contradictory or conflicting emotional attitudes
ambivalent	 adj. having or showing mixed feelings about a certain object, person or situation
amble	ride or walk at a slow, leisurely pace
ambrosia	food of the gods
ambrosial	suggestive of ambrosia; fragrant or delicious
ambulance	n. vehicle equipped to carry sick or injured people to hospital, etc
ambulate	 To walk about
ambulatory	 walking
ambush	waiting in a hidden position to make a surprise attack
ambushed	 [ ambush: ] the act of waiting in a concealed position in order to launch a surprise attack
ameliorate	 v. (cause sth to) become better
amelioration	 n.
amenable	~ (of people) willing to be influenced or controlled (by sth)
amend	correct an error in (sth); make minor improvements in; change slightly
amendment	~ minor alteration or addition to a document, etc
amenities	a useful or pleasant facility or service
amenity	feature or facility of a place that makes life there easy or pleasant
America	short for the: United States of America
American	 adj. of N or S America, esp the USA
Americanism	n. word or phrase used in American English but not in standard English in Britain
amethyst	 n. purple or violet precious stone
amiability	 n.
